ID,Hab_1,Hab_3,Hab_4,Hab_42,Hab_49
1,NA,10.23,NA,6.87,82.9
2,NA,57.58,0.28,21.46,20.68
3,1.99,44.48,NA,NA,53.54
4,0.36,74.36,NA,NA,25.28
5,0.42,55.87,NA,NA,43.71
6,1.37,51.88,NA,NA,46.75
7,NA,16.5,NA,11.92,71.58
8,3.56,33.89,NA,14.5,48.05
9,NA,41.05,NA,13.56,45.39
10,NA,37.8,NA,18.95,43.26
11,2.84,47.1,NA,25.38,24.68
12,NA,42.26,NA,16.56,41.18
13,NA,11.42,NA,15.46,73.11
14,2.48,13.6,NA,NA,83.92
15,NA,28.49,NA,34.03,37.47
16,NA,42.28,NA,14.08,43.64
17,6.6,29.24,NA,NA,64.16
18,NA,44.52,NA,46.48,9
